idx,x,y,heading,cumulative_dist
56,29.0618,1.8216,0.06746,29.121
57,29.5803,1.8564,0.06589,29.64
58,30.0993,1.8912,0.06771,30.161
59,30.618,1.9268,0.06855,30.68
60,31.1369,1.9627,0.0696,31.201
61,31.6557,1.9979,0.06654,31.721
62,32.1746,2.0319,0.06578,32.241
63,32.6933,2.0666,0.06731,32.761
64,33.2121,2.102,0.06866,33.28
65,33.7308,2.1376,0.06894,33.801
66,34.2495,2.1732,0.06739,34.32
67,34.7688,2.2079,0.06635,34.841
68,35.2873,2.2427,0.06823,35.36
69,35.8061,2.2784,0.06974,35.881
70,36.3251,2.3145,0.0684,36.401
71,36.844,2.3499,0.06726,36.921
72,37.3629,2.3839,0.06493,37.441
73,37.8815,2.4176,0.06507,37.961
74,38.4,2.4524,0.06753,38.48
75,38.9194,2.487,0.06608,39.001
76,39.4385,2.5211,0.06522,39.521
77,39.9574,2.5554,0.06663,40.041
78,40.4762,2.5905,0.06924,40.561
79,40.995,2.6266,0.06921,41.081
80,41.514,2.6618,0.0661,41.601
81,42.0334,2.6962,0.06501,42.122
82,42.5521,2.7305,0.06712,42.642
83,43.071,2.7657,0.06655,43.162
84,43.5899,2.8002,0.06469,43.682
85,44.1086,2.8348,0.06817,44.202
86,44.627,2.8706,0.06943,44.721
87,45.1459,2.9064,0.06825,45.241
88,45.6645,2.9419,0.06849,45.761
89,46.1834,2.9772,0.06793,46.281
90,46.7023,3.0133,0.06955,46.802
91,47.2213,3.0499,0.07048,47.322
92,47.7396,3.086,0.06982,47.841
93,48.2585,3.1215,0.06735,48.361
94,48.7772,3.1568,0.06774,48.881
95,49.2962,3.1921,0.06737,49.402
96,49.8151,3.2275,0.06713,49.922
97,50.3338,3.2625,0.06796,50.442
98,50.8528,3.2974,0.06795,50.962
99,51.3715,3.3326,0.06684,51.482
100,51.8908,3.3673,0.06723,52.002
101,52.4094,3.4018,0.06553,52.522
102,52.9281,3.4364,0.06727,53.042
103,53.447,3.4712,0.06628,53.562
104,53.9657,3.5061,0.06835,54.082
105,54.4843,3.5413,0.06683,54.601
106,55.0035,3.5762,0.06614,55.122
107,55.5226,3.6111,0.06623,55.642
108,56.0412,3.6453,0.06546,56.162
109,56.5603,3.6795,0.0655,56.682
110,57.0792,3.7139,0.06671,57.202
111,57.5977,3.7483,0.06684,57.722
112,58.1166,3.7828,0.06698,58.242
113,58.6352,3.8178,0.06669,58.762
114,59.1542,3.8519,0.06556,59.282
115,59.6733,3.8858,0.06568,59.802
116,60.1925,3.9201,0.06694,60.322
117,60.7109,3.9549,0.06725,60.842
118,61.2297,3.9902,0.06921,61.362
119,61.7487,4.0258,0.06755,61.882
120,62.2674,4.0609,0.06719,62.402
121,62.7861,4.0965,0.06813,62.922
122,63.3047,4.1315,0.06888,63.441
123,63.8235,4.1672,0.06905,63.962
124,64.3422,4.2027,0.06767,64.481
125,64.8612,4.2383,0.06907,65.002
126,65.3799,4.2736,0.06719,65.522
127,65.8989,4.3082,0.06652,66.042
128,66.418,4.3426,0.06593,66.562
129,66.9371,4.3771,0.0662,67.082
130,67.4559,4.4108,0.06458,67.602
131,67.9752,4.4445,0.06439,68.123
132,68.4937,4.478,0.06484,68.642
133,69.0127,4.5114,0.06458,69.162
134,69.5315,4.5451,0.06621,69.682
135,70.0504,4.5805,0.07888,70.202
136,70.5679,4.6305,0.11166,70.722
137,71.0831,4.6969,0.1419,71.242
138,71.5969,4.779,0.17236,71.762
139,72.1082,4.8755,0.20032,72.282
140,72.616,4.9861,0.22541,72.802
141,73.1204,5.1106,0.25541,73.322
142,73.6215,5.2501,0.28573,73.842
143,74.1177,5.4048,0.31588,74.361
144,74.609,5.5749,0.34645,74.881
145,75.0955,5.7593,0.37549,75.402
146,75.5757,5.9578,0.4074,75.921
147,76.0497,6.1719,0.43841,76.441
148,76.5172,6.3999,0.46724,76.962
149,76.9773,6.6417,0.49785,77.481
150,77.4301,6.8975,0.52717,78.002
151,77.8751,7.1667,0.5577,78.522
152,78.312,7.4483,0.58601,79.041
153,78.7398,7.7431,0.6168,79.561
154,79.1599,8.05,0.64241,80.081
155,79.5706,8.3686,0.67501,80.601
156,79.972,8.6999,0.70333,81.122
157,80.3637,9.0419,0.73123,81.642
158,80.7449,9.3956,0.76314,82.162
159,81.1155,9.7606,0.79114,82.682
160,81.475,10.1359,0.8196,83.202
161,81.824,10.5214,0.84908,83.721
162,82.161,10.9176,0.88048,84.242
163,82.4854,11.3236,0.90914,84.761
164,82.7986,11.7388,0.93838,85.282
165,83.0993,12.1627,0.96835,85.801
166,83.387,12.596,0.99844,86.321
167,83.6613,13.0376,1.02908,86.841
168,83.9226,13.4871,1.05733,87.361
169,84.1706,13.9438,1.08651,87.881
170,84.4051,14.4077,1.11572,88.401
171,84.6257,14.8786,1.1472,88.921
172,84.8316,15.3565,1.17668,89.441
173,85.0239,15.8396,1.20565,89.961
174,85.2019,16.3281,1.23473,90.481
175,85.3659,16.8216,1.26193,91.001
176,85.5161,17.3193,1.29193,91.521
177,85.651,17.8216,1.32216,92.041
178,85.77,18.3275,1.35311,92.561
179,85.8748,18.8367,1.38069,93.081
180,85.9644,19.3492,1.41033,93.601
181,86.0396,19.8636,1.43881,94.121
182,86.1003,20.3803,1.46651,94.641
183,86.147,20.8985,1.48606,95.161
184,86.1916,21.4167,1.48422,95.682
185,86.2375,21.9346,1.48195,96.202
186,86.2833,22.4529,1.48189,96.722
187,86.3296,22.9708,1.48132,97.242
188,86.3766,23.4888,1.4807,97.762
189,86.4229,24.007,1.48228,98.282
190,86.4691,24.5247,1.48148,98.802
191,86.5157,25.0425,1.48118,99.322
192,86.5619,25.5603,1.48102,99.842
193,86.6083,26.078,1.48158,100.361
194,86.6546,26.5959,1.48309,100.881
195,86.7013,27.1138,1.48042,101.401
196,86.7485,27.6315,1.47914,101.921
197,86.7968,28.1493,1.47759,102.441
198,86.845,28.6666,1.47788,102.961
199,86.8926,29.1847,1.48049,103.481
200,86.9394,29.7027,1.48001,104.001
201,86.9862,30.2209,1.48215,104.522
202,87.0324,30.7389,1.48221,105.042
203,87.0777,31.2569,1.48419,105.562
204,87.123,31.7751,1.48344,106.082
205,87.1679,32.2933,1.48386,106.602
206,87.2122,32.8113,1.48606,107.122
207,87.2567,33.3297,1.48372,107.642
208,87.3022,33.8476,1.48241,108.162
209,87.3478,34.3658,1.48342,108.682
210,87.3932,34.8839,1.48227,109.202
211,87.4392,35.4019,1.48099,109.722
212,87.4859,35.9202,1.48085,110.243
213,87.533,36.438,1.4807,110.763
214,87.5795,36.956,1.48125,111.283
215,87.6268,37.4737,1.47795,111.803
216,87.675,37.9914,1.47838,112.323
217,87.7238,38.509,1.47738,112.842
218,87.7719,39.0268,1.47927,113.362
219,87.8187,39.5452,1.48179,113.883
220,87.8644,40.0633,1.48432,114.403
221,87.9094,40.5811,1.48385,114.923
222,87.9552,41.0989,1.48082,115.443
223,88.0015,41.6166,1.48246,115.962
224,88.0478,42.1342,1.48091,116.482
225,88.0943,42.6523,1.48227,117.002
226,88.1409,43.17,1.48021,117.522
227,88.1874,43.6878,1.48171,118.042
228,88.2336,44.2056,1.48162,118.562
229,88.2805,44.7236,1.48001,119.082
230,88.3274,45.241,1.48033,119.602
231,88.3745,45.759,1.48028,120.122
232,88.4216,46.277,1.47968,120.642
233,88.4691,46.795,1.4788,121.162
234,88.5165,47.313,1.48012,121.682
235,88.5637,47.8308,1.47985,122.202
236,88.6108,48.3484,1.47998,122.722
237,88.6577,48.8662,1.48042,123.242
238,88.7045,49.3842,1.4804,123.762
239,88.7514,49.9021,1.48063,124.282
240,88.7984,50.4202,1.48071,124.802
241,88.8457,50.9384,1.47864,125.322
242,88.8927,51.4563,1.48097,125.842
243,88.9397,51.9741,1.48004,126.362
244,88.9861,52.4924,1.48274,126.883
245,89.0316,53.0101,1.48266,127.402
246,89.0778,53.5282,1.48035,127.923
247,89.1253,54.046,1.47834,128.443
248,89.1726,54.564,1.48104,128.963
249,89.2191,55.0817,1.48012,129.483
250,89.266,55.5994,1.48036,130.002
251,89.3127,56.1173,1.48058,130.522
252,89.36,56.6354,1.47875,131.043
253,89.4081,57.1534,1.47956,131.563
254,89.456,57.6714,1.47795,132.083
255,89.5041,58.1895,1.47827,132.603
256,89.5511,58.7068,1.4818,133.123
257,89.5979,59.2246,1.4795,133.643
258,89.6453,59.7426,1.47909,134.163
259,89.6928,60.2603,1.47847,134.683
260,89.741,60.778,1.47768,135.203
261,89.7894,61.2956,1.47776,135.722
262,89.8372,61.8138,1.47878,136.243
263,89.8854,62.3316,1.47772,136.763
264,89.933,62.8491,1.48174,137.283
265,89.979,63.3668,1.48343,137.802
266,90.025,63.8846,1.48213,138.322
267,90.071,64.4025,1.481,138.842
268,90.1174,64.9203,1.48209,139.362
269,90.1636,65.4382,1.48235,139.882
270,90.2106,65.9561,1.47944,140.402
271,90.2582,66.4744,1.47958,140.923
272,90.3052,66.9923,1.47997,141.443
273,90.3524,67.5103,1.48008,141.963
274,90.4005,68.0279,1.47631,142.483
275,90.4497,68.5453,1.4751,143.002
276,90.499,69.0631,1.47543,143.522
277,90.5482,69.5805,1.47721,144.042
278,90.5965,70.0979,1.47654,144.562
279,90.6455,70.6159,1.47784,145.082
280,90.6932,71.1336,1.47976,145.602
281,90.7401,71.6515,1.48127,146.122
282,90.7869,72.1696,1.48092,146.642
283,90.8333,72.6873,1.48079,147.162
284,90.8796,73.2052,1.48111,147.682
285,90.9268,73.7232,1.47988,148.202
286,90.9745,74.2412,1.47757,148.722
287,91.0225,74.7592,1.47853,149.242
288,91.0696,75.2773,1.47984,149.763
289,91.12,75.7947,1.46109,150.283
290,91.1863,76.3108,1.42616,150.803
291,91.2714,76.8234,1.38985,151.323
292,91.3753,77.3328,1.35128,151.843
293,91.4976,77.8382,1.31763,152.363
294,91.6375,78.3393,1.28274,152.883
295,91.7953,78.8349,1.24561,153.403
296,91.9712,79.3244,1.2104,153.923
297,92.164,79.8072,1.17461,154.443
298,92.3741,80.2822,1.13607,154.962
299,92.6025,80.7492,1.09934,155.482
300,92.8472,81.2083,1.06437,156.003
301,93.1083,81.6582,1.02815,156.523
302,93.3857,82.0977,0.9915,157.043
303,93.6787,82.5272,0.95399,157.563
304,93.988,82.9455,0.91719,158.083
305,94.3123,83.3526,0.88127,158.603
306,94.6515,83.747,0.84277,159.124
307,95.0049,84.1284,0.80606,159.644
308,95.3721,84.4969,0.77141,160.164
309,95.752,84.8521,0.73424,160.684
310,96.145,85.1925,0.69647,161.204
311,96.55,85.5185,0.66109,161.724
312,96.9669,85.8297,0.6242,162.244
313,97.3946,86.1249,0.58785,162.764
314,97.8325,86.4048,0.55127,163.284
315,98.2807,86.6684,0.51505,163.803
316,98.7384,86.9154,0.47729,164.324
317,99.2051,87.1445,0.43801,164.844
318,99.6802,87.3558,0.40129,165.364
319,100.1628,87.5497,0.36519,165.884
320,100.6519,87.7257,0.32906,166.403
321,101.1471,87.8838,0.29225,166.923
322,101.6475,88.024,0.25694,167.443
323,102.1532,88.1455,0.21825,167.963
324,102.6629,88.2489,0.18459,168.483
325,103.1758,88.3343,0.14767,169.003
326,103.692,88.3995,0.10643,169.524
327,104.2097,88.445,0.07487,170.043
328,104.728,88.4834,0.07256,170.563
329,105.2467,88.5212,0.0714,171.083
330,105.7653,88.5586,0.07255,171.603
331,106.2835,88.5963,0.07361,172.123
332,106.802,88.6338,0.07191,172.643
333,107.3206,88.6703,0.06933,173.162
334,107.8391,88.7052,0.0652,173.682
335,108.3583,88.7392,0.0654,174.202
336,108.8775,88.774,0.06897,174.723
337,109.3963,88.8095,0.06842,175.243
338,109.9151,88.8437,0.06406,175.763
339,110.4338,88.8769,0.06388,176.282
340,110.9528,88.9104,0.0651,176.802
341,111.4715,88.9441,0.06469,177.322
342,111.9901,88.9777,0.06491,177.842
343,112.509,89.012,0.06625,178.362
344,113.0279,89.0468,0.06673,178.882
345,113.5472,89.0814,0.06717,179.403
346,114.0662,89.1155,0.0652,179.923
347,114.5853,89.1499,0.06753,180.443
348,115.1041,89.1851,0.0688,180.963
349,115.6231,89.2206,0.06778,181.483
350,116.1418,89.2551,0.06482,182.003
351,116.6605,89.2886,0.06397,182.523
352,117.1794,89.3223,0.06608,183.043
353,117.6985,89.3564,0.06563,183.563
354,118.2174,89.3905,0.06412,184.083
355,118.736,89.4242,0.06452,184.603
356,119.2547,89.4579,0.06544,185.122
357,119.7735,89.4919,0.06512,185.642
358,120.2924,89.5257,0.06508,186.162
359,120.8112,89.5596,0.06582,186.682
360,121.33,89.594,0.06606,187.202
361,121.8491,89.6284,0.06525,187.722
362,122.3679,89.6625,0.06593,188.242
363,122.8867,89.6968,0.06551,188.762
364,123.4056,89.7318,0.0692,189.282
365,123.9242,89.767,0.0676,189.802
366,124.4428,89.8018,0.06779,190.322
367,124.9615,89.837,0.06799,190.842
368,125.48,89.8732,0.07104,191.362
369,125.9982,89.9096,0.07049,191.881
370,126.5167,89.9463,0.07169,192.401
371,127.0354,89.9838,0.07257,192.921
372,127.5543,90.0214,0.07242,193.441
373,128.0729,90.0586,0.06988,193.961
374,128.5916,90.0952,0.07097,194.481
375,129.1102,90.1323,0.07106,195.001
376,129.6287,90.1687,0.06967,195.521
377,130.1473,90.2047,0.06854,196.041
378,130.6662,90.2401,0.06651,196.561
379,131.1849,90.2739,0.06377,197.081
380,131.7041,90.3073,0.06499,197.601
381,132.2231,90.3412,0.06464,198.121
382,132.742,90.3745,0.06425,198.641
383,133.2611,90.4073,0.06249,199.161
384,133.7802,90.4405,0.06333,199.681
385,134.2992,90.4731,0.0625,200.201
386,134.8179,90.5053,0.06223,200.721
387,135.3371,90.5386,0.06391,201.241
388,135.8558,90.5711,0.06293,201.761
389,136.3749,90.6049,0.06654,202.281
390,136.8936,90.6396,0.06839,202.801
391,137.4123,90.6744,0.06561,203.321
392,137.9311,90.7084,0.06609,203.841
393,138.4503,90.7436,0.06854,204.361
394,138.9689,90.7779,0.06546,204.881
395,139.4881,90.8123,0.06698,205.401
396,140.0066,90.8469,0.06647,205.921
397,140.5257,90.8813,0.06572,206.441
398,141.0443,90.9157,0.0663,206.961
399,141.5635,90.9505,0.06713,207.481
400,142.0824,90.9853,0.06736,208.001
401,142.6014,91.0196,0.06544,208.521
402,143.1205,91.0535,0.06538,209.042
403,143.6397,91.0876,0.06638,209.562
404,144.1585,91.122,0.06498,210.082
405,144.6776,91.1561,0.06758,210.602
406,145.1965,91.1909,0.06598,211.122
407,145.7152,91.2251,0.06493,211.642
408,146.2343,91.2592,0.06583,212.162
409,146.7534,91.2936,0.06698,212.682
410,147.2722,91.3288,0.0686,213.202
411,147.791,91.3649,0.07024,213.722
412,148.3096,91.4015,0.07179,214.242
413,148.8287,91.4376,0.06908,214.763
414,149.3476,91.4742,0.06968,215.283
415,149.8663,91.5105,0.06997,215.803
416,150.3849,91.5463,0.06846,216.323
417,150.9034,91.5818,0.06866,216.842
418,151.4225,91.6171,0.06837,217.363
419,151.9413,91.6522,0.06723,217.883
420,152.4598,91.6878,0.06856,218.402
421,152.9786,91.7237,0.06794,218.922
422,153.4973,91.7592,0.06811,219.442
423,154.0165,91.7947,0.06729,219.963
424,154.5356,91.8294,0.06698,220.483
425,155.0544,91.8639,0.06583,221.003
426,155.5737,91.8989,0.0688,221.523
427,156.0924,91.9342,0.06662,222.043
428,156.6111,91.9692,0.06769,222.563
429,157.1302,92.0046,0.06911,223.084
430,157.649,92.0399,0.06642,223.604
431,158.1677,92.0745,0.06767,224.123
432,158.6866,92.1099,0.06521,224.643
433,159.2053,92.1441,0.06656,225.163
434,159.7238,92.1787,0.0674,225.683
435,160.2427,92.2138,0.0679,226.203
436,160.7614,92.2488,0.06667,226.723
437,161.28,92.2829,0.06537,227.243
438,161.7994,92.3171,0.06568,227.763
439,162.3185,92.3514,0.06694,228.283
440,162.8373,92.3866,0.06796,228.803
441,163.3563,92.4215,0.0682,229.324
442,163.8752,92.4577,0.06911,229.844
443,164.393,92.4985,0.09239,230.363
444,164.91,92.5557,0.1255,230.883
445,165.4247,92.6305,0.1589,231.403
446,165.9366,92.7223,0.1932,231.924
447,166.4454,92.831,0.22428,232.444
448,166.9499,92.9564,0.25972,232.964
449,167.4502,93.0989,0.29221,233.484
450,167.9454,93.2582,0.32652,234.004
451,168.4345,93.4339,0.35982,234.524
452,168.9181,93.6254,0.39149,235.044
453,169.3952,93.8322,0.42498,235.564
454,169.8649,94.0545,0.45675,236.084
455,170.3271,94.2917,0.49102,236.603
456,170.7813,94.545,0.52399,237.123
457,171.2272,94.8126,0.55586,237.643
458,171.6639,95.0946,0.58689,238.163
459,172.092,95.39,0.61936,238.683
460,172.51,95.699,0.65159,239.203
461,172.9178,96.0214,0.68572,239.723
462,173.3143,96.358,0.71972,240.243
463,173.6994,96.7077,0.75219,240.764
464,174.0719,97.0702,0.78732,241.283
465,174.4322,97.4449,0.82084,241.803
466,174.7796,97.8314,0.85392,242.323
467,175.1145,98.2288,0.88532,242.843
468,175.4366,98.637,0.91798,243.363
469,175.7454,99.055,0.9476,243.882
470,176.0421,99.4827,0.97951,244.403
471,176.3243,99.9194,1.0128,244.923
472,176.5921,100.3649,1.04483,245.443
473,176.8454,100.8193,1.07636,245.963
474,177.0842,101.2813,1.109,246.483
475,177.3077,101.7505,1.14056,247.003
476,177.5155,102.2271,1.17467,247.523
477,177.7081,102.7095,1.20619,248.042
478,177.8843,103.1988,1.24044,248.562
479,178.0447,103.6935,1.27208,249.082
480,178.1885,104.1932,1.30626,249.602
481,178.3152,104.6969,1.33998,250.122
482,178.426,105.205,1.37064,250.642
483,178.5196,105.7168,1.40611,251.162
484,178.5954,106.2317,1.4393,251.683
485,178.6548,106.7483,1.47069,252.203
486,178.698,107.2662,1.50342,252.722
487,178.7234,107.7853,1.53735,253.242
488,178.7325,108.3055,1.56664,253.762
489,178.7261,108.8253,1.59728,254.282
490,178.7031,109.3447,1.62941,254.802
491,178.6633,109.8633,1.66168,255.322
492,178.6068,110.3807,1.69414,255.843
493,178.5342,110.8951,1.72475,256.362
494,178.445,111.4072,1.75845,256.882
495,178.3383,111.916,1.79408,257.402
496,178.214,112.4208,1.82711,257.922
497,178.0735,112.9215,1.85904,258.442
498,177.9167,113.4168,1.89065,258.962
499,177.7448,113.9079,1.92318,259.482
500,177.5565,114.3928,1.95705,260.002
501,177.3611,114.8747,1.9541,260.522
502,177.167,115.3575,1.95366,261.042
503,176.9729,115.8399,1.95278,261.562
504,176.7798,116.3228,1.95175,262.083
505,176.5865,116.8053,1.95218,262.602
506,176.3932,117.2879,1.95198,263.122
507,176.199,117.7707,1.95324,263.643
508,176.0058,118.2533,1.9501,264.162
509,175.8129,118.736,1.9508,264.682
510,175.6203,119.2191,1.94947,265.202
511,175.427,119.7017,1.95366,265.722
512,175.2338,120.1844,1.95035,266.242
513,175.0415,120.6675,1.94962,266.762
514,174.8495,121.1507,1.94949,267.282
515,174.6567,121.6337,1.951,267.802
516,174.4641,122.1164,1.94972,268.322
517,174.2713,122.5991,1.95075,268.842
518,174.0789,123.0818,1.94989,269.361
519,173.8867,123.5649,1.94937,269.881
520,173.6946,124.0482,1.94927,270.401
521,173.5027,124.5314,1.9484,270.921
522,173.3109,125.0144,1.94888,271.441
523,173.1191,125.498,1.94671,271.961
524,172.9281,125.9811,1.94797,272.481
525,172.7363,126.4643,1.94833,273.0
526,172.5444,126.948,1.94923,273.521
527,172.3517,127.4307,1.95054,274.04
528,172.1589,127.9143,1.9492,274.561
529,171.9671,128.3972,1.9488,275.081
530,171.7757,128.8808,1.94693,275.601
531,171.5844,129.3648,1.94763,276.121
532,171.3933,129.8477,1.94894,276.641
533,171.2017,130.3303,1.95011,277.16
534,171.0092,130.8129,1.95097,277.679
535,170.8165,131.2959,1.95311,278.199
536,170.6234,131.779,1.95084,278.72
537,170.43,132.2616,1.9523,279.24
538,170.2363,132.7445,1.95053,279.76
539,170.0447,133.2278,1.94745,280.28
540,169.8532,133.7115,1.94834,280.8
541,169.6616,134.1952,1.94786,281.32
542,169.4697,134.6786,1.94883,281.84
543,169.2779,135.1615,1.94856,282.36
544,169.086,135.6449,1.94853,282.88
545,168.8942,136.128,1.95016,283.4
546,168.7016,136.6112,1.95036,283.92
547,168.5098,137.0942,1.94823,284.44
548,168.3187,137.5782,1.94676,284.96
549,168.1278,138.0615,1.94815,285.48
550,167.9357,138.5449,1.94993,286.0
551,167.7426,139.0276,1.95058,286.52
552,167.5495,139.5104,1.95218,287.04
553,167.3555,139.9927,1.95248,287.56
554,167.1617,140.4754,1.95137,288.08
555,166.9685,140.9586,1.95036,288.6
556,166.7761,141.4418,1.94942,289.12
557,166.5831,141.9246,1.95152,289.64
558,166.3897,142.407,1.95252,290.16
559,166.1956,142.8894,1.9527,290.68
560,166.0018,143.3716,1.95306,291.2
561,165.808,143.8541,1.95211,291.72
562,165.6144,144.337,1.95132,292.24
563,165.4211,144.8198,1.95155,292.76
564,165.228,145.3029,1.95043,293.28
565,165.0352,145.7856,1.95101,293.8
566,164.8432,146.2686,1.94926,294.32
567,164.6504,146.7517,1.95142,294.84
568,164.4573,147.2341,1.95123,295.359
569,164.2644,147.717,1.95049,295.879
570,164.0712,148.2002,1.95096,296.4
571,163.8783,148.6833,1.94856,296.92
572,163.6855,149.1665,1.95011,297.44
573,163.4931,149.6496,1.95065,297.96
574,163.3004,150.1327,1.9511,298.48
575,163.1078,150.6159,1.95045,299.001
576,162.915,151.0989,1.95134,299.521
577,162.7276,151.5676,1.9461,300.025
578,162.5877,152.0477,1.6796,300.527
579,162.7725,152.4883,0.64213,301.029
580,163.2537,152.5729,-0.2325,301.534
581,163.6679,152.2978,-0.89195,302.04
582,163.8693,151.839,-1.36396,302.546
583,163.9039,151.3265,-1.60351,303.061
584,163.8654,150.8013,-1.65842,303.587
585,163.8245,150.2781,-1.62306,304.112
586,163.8161,149.7778,-1.54532,304.613
587,163.8543,149.2638,-1.44898,305.128
588,163.9417,148.7501,-1.35919,305.65
589,164.0666,148.2586,-1.28949,306.157
590,164.2263,147.7601,-1.23853,306.68
591,164.4006,147.2816,-1.20827,307.19
592,164.5912,146.7966,-1.18911,307.711
593,164.781,146.3331,-1.17894,308.212
594,164.9751,145.8655,-1.17666,308.718
595,165.1705,145.3957,-1.1771,309.227
596,165.3652,144.9257,-1.17883,309.735
597,165.5595,144.4575,-1.178,310.242
598,165.7517,143.9882,-1.18419,310.749
599,165.9428,143.5168,-1.18563,311.258
600,166.1334,143.0458,-1.18624,311.766
601,166.3237,142.5743,-1.18729,312.275
602,166.5132,142.1033,-1.18967,312.782
603,166.7024,141.6312,-1.18931,313.291
604,166.8915,141.1581,-1.19031,313.8
605,167.0807,140.6847,-1.19135,314.31
606,167.268,140.2123,-1.19355,314.818
607,167.4551,139.7407,-1.19289,315.326
608,167.6432,139.2682,-1.19271,315.834
609,167.8305,138.796,-1.19267,316.342
610,168.0183,138.3229,-1.19292,316.851
611,168.207,137.8501,-1.1924,317.36
612,168.3961,137.3772,-1.18969,317.87
613,168.5851,136.9041,-1.19083,318.379
614,168.774,136.4328,-1.18878,318.887
615,168.9625,135.9611,-1.19168,319.395
616,169.1507,135.4887,-1.19195,319.903
617,169.3386,135.0162,-1.19211,320.412
618,169.5263,134.5433,-1.19271,320.921
619,169.7138,134.0698,-1.19579,321.43
620,169.9004,133.596,-1.19475,321.939
621,170.0874,133.1229,-1.1951,322.448
622,170.2739,132.6507,-1.19244,322.956
623,170.4628,132.1777,-1.18916,323.465
624,170.6525,131.7054,-1.19067,323.974
625,170.8414,131.2317,-1.19201,324.484
626,171.0298,130.7584,-1.1942,324.993
627,171.2181,130.2846,-1.19237,325.503
628,171.4062,129.8112,-1.19102,326.013
629,171.5944,129.3381,-1.19351,326.522
630,171.7814,128.8646,-1.19527,327.031
631,171.9692,128.3914,-1.19219,327.54
632,172.1568,127.9181,-1.19367,328.049
633,172.3449,127.4447,-1.19203,328.558
634,172.5338,126.9721,-1.19125,329.067
635,172.7222,126.4986,-1.19134,329.577
636,172.9106,126.0259,-1.19256,330.086
637,173.0988,125.5533,-1.19212,330.595
638,173.2865,125.0802,-1.19338,331.103
639,173.4736,124.6063,-1.19447,331.613
640,173.6614,124.133,-1.19141,332.122
641,173.8497,123.6593,-1.19118,332.632
642,174.0384,123.1857,-1.19218,333.142
643,174.2268,122.7124,-1.19133,333.651
644,174.4157,122.2392,-1.19094,334.161
645,174.6042,121.7656,-1.19295,334.67
646,174.792,121.2921,-1.19234,335.18
647,174.979,120.8199,-1.19326,335.688
648,175.1667,120.348,-1.19115,336.196
649,175.3559,119.8753,-1.18852,336.705
650,175.5461,119.4026,-1.18768,337.214
651,175.736,118.9315,-1.1871,337.722
652,175.9256,118.4591,-1.18905,338.231
653,176.1149,117.9864,-1.19089,338.74
654,176.3037,117.513,-1.19149,339.25
655,176.4923,117.0398,-1.19158,339.759
656,176.6815,116.567,-1.18912,340.269
657,176.8714,116.0943,-1.18913,340.778
658,177.0609,115.6216,-1.19026,341.287
659,177.2496,115.1482,-1.19243,341.797
660,177.4349,114.6787,-1.19729,342.302
661,177.624,114.1874,-1.20884,342.828
662,177.8027,113.6999,-1.23033,343.347
663,177.9678,113.2123,-1.25581,343.862
664,178.1181,112.7227,-1.28665,344.374
665,178.2525,112.2311,-1.31733,344.884
666,178.3715,111.7382,-1.34801,345.391
